	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
44070	хорошенький	PSTV	1.0	0.844	0.022	0.09	0.044	0.0	0.606	0.627	-0.021
44071	хорошенько	PSTV	1.0	0.787	0.021	0.171	0.021	0.0	0.556	0.566	-0.01
44072	хорошеть	PSTV	1.0	0.923	0.019	0.039	0.019	0.0	0.533	0.489	0.044
44073	хороший	PSTV	1.0	0.849	0.057	0.056	0.038	0.0	0.469	0.646	-0.177
44074	хорошист	PSTV	0.86	0.673	0.019	0.25	0.058	0.0	0.475	0.681	-0.206
44075	хоррор	NGTV	-0.81	0.049	0.573	0.245	0.133	0.0	0.479	0.638	-0.159
44076	хорёк	NEUT	0.35	0.333	0.068	0.514	0.085	0.0	0.584	0.674	-0.09
44077	хостел	NEUT	0.18	0.217	0.065	0.522	0.196	0.0	0.512	0.537	-0.025
44078	хостинг	NEUT	0.09	0.171	0.014	0.529	0.286	0.0	0.37	0.553	-0.183
44079	хот-дог	NEUT	0.37	0.319	0.134	0.446	0.101	0.04	0.66	0.601	0.059
44080	хотение	NEUT	0.35	0.31	0.044	0.478	0.168	0.0	0.666	0.566	0.1
44081	хотенье	NEUT	0.44	0.357	0.122	0.399	0.122	0.04	0.666	0.582	0.084
44082	хотеть	NEUT	0.43	0.376	0.045	0.459	0.12	0.0	0.554	0.587	-0.033
44083	хотеться	NEUT	0.38	0.303	0.106	0.424	0.167	0.0	0.641	0.473	0.168
44084	хохлатый	NEUT	0.0	0.12	0.11	0.48	0.29	0.0	0.492	0.54	-0.048
44085	хохлома	NEUT	0.24	0.266	0.046	0.55	0.138	0.0	0.455	0.585	-0.13
44086	хохма	PSTV	0.72	0.426	0.119	0.217	0.238	0.03	0.414	0.548	-0.134
44087	хохмач	NEUT	0.48	0.281	0.185	0.186	0.348	0.35	0.416	0.558	-0.142
44088	хохолок	NEUT	0.22	0.242	0.105	0.532	0.121	0.0	0.646	0.654	-0.008
44089	хохот	PSTV	0.95	0.704	0.019	0.203	0.074	0.0	0.518	0.712	-0.194
44090	хохотать	PSTV	0.95	0.689	0.044	0.2	0.067	0.0	0.541	0.63	-0.089
44091	хохотнуть	PSTV	0.7	0.535	0.059	0.307	0.099	0.0	0.592	0.655	-0.063
44092	хохотун	PSTV	0.74	0.504	0.137	0.248	0.111	0.02	0.465	0.662	-0.197
44093	хохотунья	PSTV	0.74	0.521	0.042	0.27	0.167	0.0	0.521	0.6	-0.079
44094	хохотушка	PSTV	0.91	0.65	0.05	0.21	0.09	0.0	0.486	0.573	-0.087
44095	храбрейший	PSTV	1.0	0.854	0.0	0.097	0.049	0.0	0.459	0.699	-0.24
44096	храбреть	PSTV	1.0	0.771	0.0	0.187	0.042	0.0	0.43	0.644	-0.214
44097	храбрец	PSTV	1.0	0.795	0.045	0.069	0.091	0.0	0.54	0.641	-0.101
44098	храбриться	PSTV	0.85	0.529	0.143	0.194	0.134	0.02	0.452	0.667	-0.215
44099	храбрость	PSTV	1.0	0.904	0.0	0.096	0.0	0.0	0.463	0.682	-0.219
44100	храбрый	PSTV	1.0	0.771	0.093	0.094	0.042	0.0	0.423	0.65	-0.227
44101	храм	PSTV	0.66	0.525	0.034	0.331	0.11	0.0	0.552	0.593	-0.041
44102	хранение	NEUT	0.3	0.328	0.031	0.571	0.07	0.0	0.473	0.732	-0.259
44103	хранилище	NEUT	0.13	0.196	0.065	0.543	0.196	0.0	0.465	0.629	-0.164
44104	хранитель	PSTV	0.7	0.55	0.018	0.315	0.117	0.0	0.686	0.615	0.071
44105	хранительница	PSTV	0.91	0.753	0.0	0.247	0.0	0.0	0.731	0.466	0.265
44106	хранить	NEUT	0.42	0.379	0.038	0.485	0.098	0.0	0.708	0.549	0.159
44107	храниться	NEUT	0.14	0.225	0.075	0.6	0.1	0.0	0.623	0.6	0.023
44108	храп	NGTV	-0.75	0.118	0.537	0.271	0.074	0.0	0.654	0.531	0.123
44109	храпение	NGTV	-0.66	0.046	0.515	0.324	0.115	0.0	0.584	0.541	0.043
44110	храпенье	NGTV	-0.55	0.04	0.446	0.385	0.129	0.0	0.657	0.531	0.126
44111	храпеть	NGTV	-0.65	0.042	0.508	0.333	0.117	0.0	0.712	0.519	0.193
44112	хребет	NEUT	0.0	0.155	0.069	0.621	0.155	0.0	0.546	0.679	-0.133
44113	хребтовый	NEUT	0.0	0.109	0.069	0.565	0.257	0.0	0.498	0.656	-0.158
44114	хрен	NEUT	-0.26	0.157	0.268	0.496	0.079	0.06	0.459	0.658	-0.199
44115	хреновина	NGTV	-0.61	0.16	0.437	0.269	0.134	0.1	0.531	0.68	-0.149
44116	хреновый	NGTV	-1.0	0.039	0.863	0.039	0.059	0.0	0.472	0.697	-0.225
44117	хренотень	NGTV	-1.0	0.02	0.72	0.18	0.08	0.0	0.504	0.596	-0.092
44118	хрестоматия	NEUT	0.29	0.277	0.059	0.496	0.168	0.0	0.437	0.568	-0.131
44119	хризантема	PSTV	0.73	0.598	0.036	0.312	0.054	0.0	0.696	0.595	0.101
44120	хрипение	NGTV	-0.66	0.092	0.485	0.308	0.115	0.0	0.58	0.679	-0.099
44121	хрипеть	NGTV	-0.58	0.059	0.466	0.373	0.102	0.0	0.639	0.671	-0.032
44122	хрипловатый	NEUT	0.0	0.036	0.179	0.714	0.071	0.0	0.507	0.691	-0.184
44123	хриплость	NGTV	-0.53	0.068	0.427	0.394	0.111	0.0	0.513	0.685	-0.172
44124	хриплый	NGTV	-0.4	0.051	0.362	0.478	0.109	0.0	0.451	0.708	-0.257
44125	хрипнуть	NGTV	-0.46	0.096	0.327	0.365	0.212	0.01	0.606	0.628	-0.022
44126	хрипота	NGTV	-0.69	0.045	0.527	0.312	0.116	0.0	0.531	0.615	-0.084
44127	хрипотца	NEUT	0.02	0.148	0.0	0.556	0.296	0.0	0.532	0.636	-0.104
44128	христианизация	NEUT	0.19	0.178	0.139	0.396	0.287	0.11	0.5	0.65	-0.15
44129	христианизировать	NEUT	0.27	0.235	0.127	0.432	0.206	0.04	0.504	0.538	-0.034
44130	христианка	NEUT	0.31	0.305	0.068	0.517	0.11	0.0	0.625	0.523	0.102
44131	христианнейший	NEUT	0.53	0.343	0.086	0.314	0.257	0.0	0.46	0.754	-0.294
44132	христиански	NEUT	0.49	0.409	0.087	0.426	0.078	0.0	0.476	0.559	-0.083
44133	христос	PSTV	0.8	0.569	0.081	0.252	0.098	0.0	0.517	0.715	-0.198
44134	хром	NEUT	0.0	0.109	0.047	0.516	0.328	0.0	0.498	0.614	-0.116
44135	хромать	NGTV	-1.0	0.045	0.75	0.137	0.068	0.0	0.603	0.639	-0.036
44136	хромой	NGTV	-0.69	0.076	0.519	0.306	0.099	0.0	0.479	0.673	-0.194
44137	хромоногий	NGTV	-0.63	0.056	0.463	0.324	0.157	0.0	0.488	0.716	-0.228
44138	хромосома	NEUT	0.12	0.229	0.029	0.656	0.086	0.0	0.458	0.694	-0.236
44139	хромота	NGTV	-0.94	0.058	0.635	0.192	0.115	0.0	0.55	0.669	-0.119
44140	хронический	NGTV	-0.86	0.095	0.571	0.215	0.119	0.0	0.485	0.737	-0.252
44141	хронологически	NEUT	0.02	0.182	0.068	0.682	0.068	0.0	0.49	0.547	-0.057
44142	хронологический	NEUT	0.0	0.179	0.0	0.785	0.036	0.0	0.51	0.676	-0.166
44143	хронология	NEUT	0.0	0.154	0.0	0.692	0.154	0.0	0.463	0.69	-0.227
44144	хронометр	NEUT	0.21	0.25	0.02	0.56	0.17	0.0	0.672	0.422	0.25
44145	хронометраж	NEUT	0.0	0.12	0.04	0.8	0.04	0.0	0.465	0.591	-0.126
44146	хрупкий	NEUT	-0.19	0.109	0.234	0.548	0.109	0.0	0.598	0.602	-0.004
44147	хрупкость	NEUT	-0.22	0.173	0.227	0.464	0.136	0.12	0.657	0.732	-0.075
44148	хруст	NEUT	0.0	0.18	0.06	0.72	0.04	0.0	0.607	0.732	-0.125
44149	хрусталик	NEUT	0.09	0.209	0.07	0.651	0.07	0.0	0.69	0.576	0.114
44150	хрусталь	NEUT	0.17	0.235	0.078	0.589	0.098	0.0	0.653	0.578	0.075
44151	хрустальный	NEUT	0.32	0.333	0.044	0.556	0.067	0.0	0.611	0.541	0.07
44152	хрустеть	NEUT	0.02	0.16	0.118	0.604	0.118	0.0	0.643	0.595	0.048
44153	хрустнуть	NEUT	-0.09	0.118	0.191	0.582	0.109	0.0	0.656	0.627	0.029
44154	хрущёвка	NGTV	-0.44	0.097	0.328	0.396	0.179	0.0	0.529	0.608	-0.079
44155	хрюканье	NGTV	-0.44	0.094	0.354	0.426	0.126	0.0	0.551	0.535	0.016
44156	хрюкать	NEUT	-0.28	0.128	0.265	0.487	0.12	0.01	0.642	0.608	0.034
44157	хрюкнуть	NGTV	-0.48	0.116	0.384	0.393	0.107	0.03	0.64	0.628	0.012
44158	хрюшка	NEUT	0.3	0.287	0.222	0.409	0.082	0.24	0.501	0.595	-0.094
44159	хряк	NEUT	-0.3	0.119	0.222	0.373	0.286	0.06	0.506	0.631	-0.125
44160	хрящ	NEUT	0.0	0.057	0.057	0.716	0.17	0.0	0.593	0.696	-0.103
44161	хрящеватый	NEUT	-0.07	0.097	0.159	0.523	0.221	0.0	0.552	0.71	-0.158
44162	хрящевой	NEUT	0.05	0.157	0.098	0.539	0.206	0.0	0.536	0.586	-0.05
44163	хрящик	NEUT	0.0	0.143	0.0	0.821	0.036	0.0	0.487	0.676	-0.189
44164	худенький	NEUT	0.1	0.2	0.108	0.6	0.092	0.0	0.545	0.706	-0.161
44165	худеть	NEUT	0.21	0.256	0.128	0.568	0.048	0.0	0.51	0.58	-0.07
44166	худи	NEUT	0.22	0.218	0.04	0.468	0.274	0.0	0.383	0.545	-0.162
44167	худоба	NGTV	-0.63	0.079	0.482	0.334	0.105	0.0	0.535	0.697	-0.162
44168	художественность	PSTV	0.73	0.574	0.039	0.302	0.085	0.0	0.445	0.736	-0.291
44169	художественный	PSTV	0.66	0.538	0.023	0.347	0.092	0.0	0.414	0.626	-0.212
44170	художество	PSTV	0.74	0.567	0.094	0.292	0.047	0.0	0.514	0.672	-0.158
44171	художник	PSTV	0.73	0.583	0.047	0.307	0.063	0.0	0.552	0.688	-0.136
44172	художница	PSTV	0.63	0.508	0.033	0.352	0.107	0.0	0.609	0.617	-0.008
44173	художнический	NEUT	0.42	0.36	0.08	0.46	0.1	0.0	0.474	0.634	-0.16
44174	худой	NEUT	-0.15	0.176	0.214	0.541	0.069	0.08	0.409	0.719	-0.31
44175	худородный	NGTV	-0.96	0.037	0.519	0.148	0.296	0.0	0.404	0.702	-0.298
44176	худосочность	NGTV	-0.63	0.106	0.376	0.248	0.27	0.03	0.506	0.717	-0.211
44177	худощавость	NGTV	-0.44	0.122	0.374	0.432	0.072	0.02	0.583	0.703	-0.12
44178	худощавый	NEUT	-0.32	0.088	0.307	0.509	0.096	0.0	0.423	0.733	-0.31
44179	худший	NGTV	-1.0	0.018	0.857	0.071	0.054	0.0	0.461	0.602	-0.141
44180	худышка	NEUT	0.35	0.311	0.115	0.476	0.098	0.0	0.54	0.481	0.059
44181	хук	NEUT	-0.21	0.087	0.183	0.403	0.327	0.0	0.486	0.652	-0.166
44182	хулиган	NGTV	-1.0	0.08	0.86	0.02	0.04	0.0	0.409	0.646	-0.237
44183	хулиганистый	NGTV	-1.0	0.048	0.738	0.166	0.048	0.0	0.446	0.606	-0.16
44184	хулиганить	NGTV	-1.0	0.036	0.836	0.037	0.091	0.0	0.576	0.533	0.043
44185	хулиганка	NGTV	-1.0	0.04	0.74	0.18	0.04	0.0	0.54	0.448	0.092
44186	хулигански	NGTV	-1.0	0.071	0.786	0.107	0.036	0.0	0.477	0.485	-0.008
44187	хулиганский	NGTV	-1.0	0.058	0.769	0.096	0.077	0.0	0.457	0.572	-0.115
44188	хулиганство	NGTV	-1.0	0.04	0.88	0.08	0.0	0.0	0.43	0.694	-0.264
44189	хулиганствовать	NGTV	-1.0	0.077	0.865	0.02	0.038	0.0	0.451	0.58	-0.129
44190	хулиганьё	NGTV	-1.0	0.06	0.78	0.14	0.02	0.0	0.504	0.625	-0.121
44191	хурма	NEUT	0.54	0.449	0.031	0.402	0.118	0.0	0.476	0.52	-0.044
44192	хутор	NEUT	0.03	0.174	0.043	0.631	0.152	0.0	0.456	0.631	-0.175
44193	хуторок	NEUT	0.28	0.291	0.019	0.535	0.155	0.0	0.521	0.648	-0.127
44194	хуторской	NEUT	0.08	0.167	0.067	0.533	0.233	0.0	0.416	0.574	-0.158
44195	хуторянин	NEUT	0.08	0.155	0.073	0.49	0.282	0.0	0.352	0.744	-0.392
44196	хэппи-энд	PSTV	1.0	0.864	0.017	0.085	0.034	0.0	0.693	0.685	0.008
44197	цапать	NGTV	-0.69	0.051	0.508	0.297	0.144	0.0	0.621	0.612	0.009
44198	цапаться	NGTV	-1.0	0.06	0.78	0.04	0.12	0.0	0.384	0.555	-0.171
44199	цапля	NEUT	0.27	0.297	0.042	0.568	0.093	0.0	0.537	0.541	-0.004
44200	цапнуть	NGTV	-0.64	0.074	0.471	0.315	0.14	0.0	0.535	0.651	-0.116
44201	царапание	NGTV	-0.63	0.047	0.504	0.347	0.102	0.0	0.59	0.672	-0.082
44202	царапанье	NGTV	-0.74	0.056	0.56	0.288	0.096	0.0	0.589	0.665	-0.076
44203	царапать	NGTV	-0.82	0.089	0.573	0.241	0.097	0.0	0.638	0.651	-0.013
44204	царапаться	NGTV	-0.93	0.044	0.632	0.192	0.132	0.0	0.578	0.661	-0.083
44205	царапина	NGTV	-0.91	0.083	0.583	0.188	0.146	0.0	0.561	0.562	-0.001
44206	царапинка	NGTV	-0.62	0.101	0.496	0.356	0.047	0.0	0.552	0.603	-0.051
44207	царапнуть	NGTV	-0.65	0.091	0.496	0.322	0.091	0.0	0.61	0.658	-0.048
44208	царевич	NEUT	0.53	0.43	0.074	0.397	0.099	0.0	0.498	0.679	-0.181
44209	царевна	NEUT	0.45	0.402	0.055	0.464	0.079	0.0	0.624	0.518	0.106
44210	цареубийство	NGTV	-1.0	0.036	0.786	0.142	0.036	0.0	0.529	0.766	-0.237
44211	царить	NEUT	0.4	0.307	0.119	0.396	0.178	0.04	0.574	0.711	-0.137
44212	царица	NEUT	0.5	0.41	0.049	0.41	0.131	0.0	0.604	0.544	0.06
44213	царский	PSTV	0.56	0.412	0.046	0.351	0.191	0.0	0.478	0.623	-0.145
44214	царственность	PSTV	0.58	0.407	0.111	0.312	0.17	0.02	0.648	0.702	-0.054
44215	царственный	PSTV	0.77	0.538	0.103	0.256	0.103	0.0	0.514	0.699	-0.185
44216	царствие	NEUT	0.39	0.319	0.052	0.439	0.19	0.0	0.616	0.598	0.018
44217	царство	NEUT	0.06	0.207	0.017	0.69	0.086	0.0	0.636	0.557	0.079
44218	царствование	NEUT	0.24	0.25	0.092	0.508	0.15	0.0	0.575	0.747	-0.172
44219	царствовать	NEUT	0.27	0.272	0.149	0.5	0.079	0.05	0.575	0.684	-0.109
44220	царь	NEUT	0.3	0.3	0.067	0.525	0.108	0.0	0.582	0.647	-0.065
44221	царёк	NGTV	-0.56	0.14	0.372	0.263	0.225	0.1	0.7	0.607	0.093
44222	цацка	NGTV	-0.49	0.165	0.322	0.252	0.261	0.2	0.482	0.621	-0.139
44223	цацкаться	NGTV	-0.68	0.157	0.48	0.255	0.108	0.08	0.404	0.55	-0.146
44224	цвести	PSTV	1.0	0.788	0.019	0.193	0.0	0.0	0.682	0.671	0.011
44225	цвет	NEUT	0.15	0.252	0.041	0.666	0.041	0.0	0.609	0.572	0.037
44226	цветастость	NEUT	0.43	0.342	0.094	0.419	0.145	0.0	0.599	0.612	-0.013
44227	цветастый	NEUT	0.52	0.422	0.119	0.386	0.073	0.02	0.601	0.547	0.054
44228	цветение	PSTV	0.91	0.698	0.019	0.226	0.057	0.0	0.692	0.626	0.066
44229	цветик	PSTV	0.73	0.557	0.016	0.296	0.131	0.0	0.723	0.589	0.134
44230	цветистость	NEUT	0.51	0.373	0.064	0.363	0.2	0.0	0.57	0.649	-0.079
44231	цветистый	NEUT	0.45	0.346	0.019	0.404	0.231	0.0	0.547	0.56	-0.013
44232	цветковый	NEUT	0.42	0.373	0.025	0.466	0.136	0.0	0.606	0.617	-0.011
44233	цветник	PSTV	0.55	0.44	0.04	0.38	0.14	0.0	0.745	0.596	0.149
44234	цветность	NEUT	0.1	0.202	0.032	0.606	0.16	0.0	0.589	0.635	-0.046
44235	цветовод	NEUT	0.53	0.45	0.05	0.408	0.092	0.0	0.512	0.655	-0.143
44236	цветоводство	PSTV	0.6	0.492	0.033	0.368	0.107	0.0	0.559	0.679	-0.12
44237	цветовой	NEUT	0.54	0.478	0.017	0.427	0.078	0.0	0.417	0.597	-0.18
44238	цветок	PSTV	0.65	0.527	0.054	0.349	0.07	0.0	0.751	0.671	0.08
44239	цветоложе	NEUT	0.35	0.252	0.039	0.389	0.32	0.0	0.54	0.618	-0.078
44240	цветоносный	PSTV	0.62	0.455	0.069	0.327	0.149	0.0	0.546	0.596	-0.05
44241	цветоощущение	NEUT	0.51	0.426	0.059	0.416	0.099	0.0	0.704	0.55	0.154
44242	цветопередача	NEUT	0.36	0.34	0.04	0.5	0.12	0.0	0.39	0.576	-0.186
44243	цветочек	PSTV	0.93	0.667	0.019	0.203	0.111	0.0	0.763	0.577	0.186
44244	цветочник	PSTV	0.57	0.492	0.008	0.403	0.097	0.0	0.554	0.72	-0.166
44245	цветочница	PSTV	0.62	0.504	0.009	0.354	0.133	0.0	0.672	0.498	0.174
44246	цветочный	PSTV	0.57	0.512	0.024	0.423	0.041	0.0	0.584	0.585	-0.001
44247	цедить	NEUT	0.21	0.233	0.125	0.525	0.117	0.0	0.444	0.727	-0.283
44248	цедра	NEUT	0.0	0.071	0.054	0.679	0.196	0.0	0.513	0.752	-0.239
44249	цезарь	NEUT	0.5	0.389	0.062	0.39	0.159	0.0	0.579	0.665	-0.086
44250	цезура	NEUT	-0.21	0.159	0.182	0.371	0.288	0.18	0.426	0.688	-0.262
44251	цейлонский	NEUT	0.27	0.255	0.02	0.49	0.235	0.0	0.588	0.631	-0.043
44252	целебность	PSTV	1.0	0.885	0.077	0.0	0.038	0.0	0.67	0.67	0.0
44253	целебный	PSTV	1.0	0.837	0.07	0.046	0.047	0.0	0.67	0.576	0.094
44254	целевой	NEUT	0.2	0.276	0.029	0.628	0.067	0.0	0.331	0.589	-0.258
44255	целенаправленность	PSTV	1.0	0.75	0.05	0.15	0.05	0.0	0.485	0.729	-0.244
44256	целенаправленный	PSTV	0.78	0.613	0.048	0.283	0.056	0.0	0.438	0.66	-0.222
44257	целение	PSTV	1.0	0.571	0.029	0.143	0.257	0.0	0.488	0.613	-0.125
44258	целесообразность	PSTV	0.66	0.57	0.03	0.36	0.04	0.0	0.489	0.697	-0.208
44259	целесообразный	PSTV	1.0	0.681	0.021	0.17	0.128	0.0	0.473	0.639	-0.166
44260	целеуказатель	NEUT	0.08	0.192	0.0	0.616	0.192	0.0	0.394	0.623	-0.229
44261	целеустремлённость	PSTV	1.0	0.843	0.0	0.079	0.078	0.0	0.486	0.637	-0.151
44262	целеустремлённый	PSTV	1.0	0.891	0.022	0.065	0.022	0.0	0.358	0.691	-0.333
44263	целитель	PSTV	0.93	0.569	0.02	0.176	0.235	0.0	0.553	0.655	-0.102
44264	целительница	PSTV	0.91	0.642	0.062	0.21	0.086	0.0	0.734	0.537	0.197
44265	целительность	PSTV	1.0	0.815	0.074	0.037	0.074	0.0	0.648	0.675	-0.027
44266	целительный	PSTV	1.0	0.846	0.051	0.077	0.026	0.0	0.661	0.585	0.076
44267	целительство	PSTV	0.94	0.571	0.029	0.171	0.229	0.0	0.649	0.634	0.015
44268	целить	PSTV	0.6	0.449	0.037	0.336	0.178	0.0	0.519	0.568	-0.049
44269	целиться	NEUT	0.25	0.272	0.096	0.544	0.088	0.0	0.5	0.565	-0.065
44270	целлофан	NEUT	0.0	0.12	0.103	0.674	0.103	0.0	0.613	0.609	0.004
44271	целлофановый	NEUT	0.0	0.142	0.125	0.616	0.117	0.0	0.602	0.56	0.042
44272	целлюлит	NGTV	-0.9	0.036	0.589	0.196	0.179	0.0	0.611	0.627	-0.016
44273	целлюлоза	NEUT	0.1	0.194	0.071	0.582	0.153	0.0	0.417	0.746	-0.329
44274	целлюлозный	NEUT	0.0	0.077	0.038	0.616	0.269	0.0	0.445	0.656	-0.211
44275	целование	PSTV	0.75	0.52	0.03	0.26	0.19	0.0	0.666	0.569	0.097
44276	целовать	PSTV	1.0	0.702	0.088	0.157	0.053	0.0	0.637	0.582	0.055
44277	целоваться	PSTV	0.98	0.717	0.057	0.188	0.038	0.0	0.664	0.588	0.076
44278	целомудренность	PSTV	0.97	0.667	0.074	0.185	0.074	0.0	0.549	0.721	-0.172
44279	целомудренный	PSTV	0.93	0.582	0.063	0.178	0.177	0.0	0.447	0.713	-0.266
44280	целомудрие	PSTV	1.0	0.724	0.034	0.173	0.069	0.0	0.578	0.702	-0.124
44281	целостность	PSTV	0.77	0.594	0.007	0.283	0.116	0.0	0.543	0.734	-0.191
44282	целостный	PSTV	0.6	0.402	0.059	0.304	0.235	0.0	0.549	0.614	-0.065
44283	целость	PSTV	0.63	0.491	0.073	0.336	0.1	0.0	0.526	0.649	-0.123
44284	целый	NEUT	0.43	0.4	0.031	0.492	0.077	0.0	0.632	0.635	-0.003
44285	цельнометаллический	NEUT	0.0	0.038	0.038	0.809	0.115	0.0	0.568	0.607	-0.039
44286	цельность	PSTV	0.61	0.458	0.008	0.331	0.203	0.0	0.513	0.731	-0.218
44287	цельный	PSTV	0.64	0.495	0.03	0.336	0.139	0.0	0.456	0.641	-0.185
44288	цельсий	NEUT	0.0	0.068	0.023	0.727	0.182	0.0	0.44	0.599	-0.159
44289	цемент	NEUT	0.0	0.111	0.022	0.823	0.044	0.0	0.441	0.753	-0.312
44290	цементирование	NEUT	0.0	0.15	0.067	0.616	0.167	0.0	0.496	0.75	-0.254
44291	цементировать	NEUT	0.14	0.22	0.06	0.59	0.13	0.0	0.47	0.655	-0.185
44292	цементный	NEUT	0.0	0.074	0.056	0.759	0.111	0.0	0.49	0.693	-0.203
44293	цена	NEUT	0.06	0.18	0.06	0.6	0.16	0.0	0.472	0.693	-0.221
44294	цензор	NEUT	-0.19	0.114	0.19	0.439	0.257	0.01	0.429	0.661	-0.232
44295	цензура	NGTV	-0.45	0.141	0.39	0.413	0.056	0.06	0.364	0.678	-0.314
44296	цензурность	NGTV	-0.39	0.229	0.336	0.342	0.093	0.28	0.446	0.795	-0.349
44297	цензурный	NEUT	0.36	0.308	0.248	0.324	0.12	0.36	0.317	0.67	-0.353
44298	цензуровать	NGTV	-0.4	0.174	0.321	0.349	0.156	0.18	0.304	0.67	-0.366
44299	ценитель	PSTV	0.77	0.6	0.043	0.287	0.07	0.0	0.474	0.705	-0.231
44300	ценительница	PSTV	0.95	0.66	0.085	0.191	0.064	0.0	0.648	0.454	0.194
44301	ценить	PSTV	1.0	0.795	0.023	0.137	0.045	0.0	0.501	0.703	-0.202
44302	цениться	PSTV	0.9	0.647	0.02	0.215	0.118	0.0	0.508	0.754	-0.246
44303	ценнейший	PSTV	1.0	0.694	0.082	0.122	0.102	0.0	0.488	0.599	-0.111
44304	ценник	NEUT	0.0	0.111	0.056	0.722	0.111	0.0	0.444	0.694	-0.25
44305	ценностный	PSTV	0.9	0.611	0.044	0.203	0.142	0.0	0.306	0.677	-0.371
44306	ценность	PSTV	1.0	0.763	0.034	0.152	0.051	0.0	0.478	0.706	-0.228
44307	ценный	PSTV	1.0	0.839	0.036	0.054	0.071	0.0	0.545	0.601	-0.056
44308	ценовой	NEUT	0.0	0.111	0.056	0.694	0.139	0.0	0.357	0.723	-0.366
44309	ценообразование	NEUT	0.0	0.14	0.053	0.737	0.07	0.0	0.368	0.772	-0.404
44310	цент	NEUT	0.21	0.27	0.041	0.599	0.09	0.0	0.419	0.731	-0.312
44311	центнер	NEUT	0.0	0.179	0.0	0.718	0.103	0.0	0.512	0.7	-0.188
44312	центр	NEUT	0.0	0.136	0.068	0.66	0.136	0.0	0.457	0.631	-0.174
44313	централ	NEUT	0.0	0.111	0.111	0.516	0.262	0.0	0.492	0.639	-0.147
44314	централизация	NEUT	0.23	0.228	0.089	0.485	0.198	0.0	0.512	0.615	-0.103
44315	централизовать	NEUT	0.1	0.214	0.071	0.644	0.071	0.0	0.438	0.684	-0.246
44316	центральность	NEUT	0.0	0.146	0.021	0.604	0.229	0.0	0.517	0.699	-0.182
44317	центральный	NEUT	0.08	0.224	0.026	0.711	0.039	0.0	0.419	0.629	-0.21
44318	центрирование	NEUT	0.0	0.12	0.04	0.6	0.24	0.0	0.474	0.65	-0.176
44319	центристский	NEUT	0.04	0.115	0.097	0.407	0.381	0.0	0.381	0.704	-0.323
44320	центрифуга	NEUT	0.04	0.175	0.07	0.632	0.123	0.0	0.496	0.642	-0.146
44321	центробанк	NEUT	0.0	0.125	0.063	0.499	0.313	0.0	0.414	0.702	-0.288
44322	центробежный	NEUT	0.0	0.0	0.0	0.966	0.034	0.0	0.536	0.69	-0.154
44323	центровой	NEUT	0.0	0.154	0.0	0.615	0.231	0.0	0.495	0.633	-0.138
44324	центростремительный	NEUT	0.35	0.292	0.044	0.443	0.221	0.0	0.516	0.61	-0.094
44325	цепенеть	NGTV	-0.65	0.04	0.52	0.34	0.1	0.0	0.614	0.671	-0.057
44326	цепкий	NEUT	0.49	0.394	0.073	0.409	0.124	0.0	0.54	0.68	-0.14
44327	цепкость	PSTV	0.63	0.482	0.064	0.333	0.121	0.0	0.492	0.701	-0.209
44328	цепляние	NEUT	-0.33	0.164	0.273	0.39	0.173	0.14	0.443	0.642	-0.199
44329	цеплять	NEUT	0.14	0.2	0.13	0.54	0.13	0.0	0.474	0.539	-0.065
44330	цепляться	NEUT	-0.06	0.104	0.188	0.625	0.083	0.0	0.478	0.663	-0.185
44331	цепной	NEUT	0.0	0.096	0.058	0.654	0.192	0.0	0.521	0.662	-0.141
44332	цепочка	NEUT	0.0	0.08	0.04	0.7	0.18	0.0	0.569	0.636	-0.067
44333	цепь	NEUT	-0.06	0.13	0.176	0.587	0.107	0.0	0.656	0.609	0.047
44334	цербер	NGTV	-0.74	0.068	0.476	0.242	0.214	0.0	0.527	0.66	-0.133
44335	церемониал	NEUT	0.0	0.148	0.0	0.593	0.259	0.0	0.549	0.638	-0.089
44336	церемониальность	NEUT	0.01	0.163	0.144	0.635	0.058	0.0	0.534	0.747	-0.213
44337	церемониальный	NEUT	0.36	0.307	0.059	0.456	0.178	0.0	0.571	0.631	-0.06
44338	церемониймейстер	NEUT	0.3	0.26	0.067	0.461	0.212	0.0	0.573	0.63	-0.057
44339	церемониться	NGTV	-0.47	0.222	0.368	0.273	0.137	0.28	0.366	0.65	-0.284
44340	церемония	NEUT	0.42	0.385	0.038	0.49	0.087	0.0	0.568	0.622	-0.054
44341	церемонничать	NGTV	-0.37	0.2	0.314	0.362	0.124	0.22	0.568	0.685	-0.117
44342	церемонность	NEUT	0.3	0.241	0.152	0.384	0.223	0.13	0.547	0.692	-0.145
44343	церемонный	NEUT	0.37	0.325	0.133	0.45	0.092	0.04	0.497	0.655	-0.158
44344	церквушка	NEUT	0.42	0.336	0.107	0.418	0.139	0.0	0.635	0.593	0.042
44345	церковник	NEUT	0.23	0.241	0.148	0.5	0.111	0.05	0.472	0.71	-0.238
44346	церковноприходский	NEUT	0.14	0.219	0.063	0.593	0.125	0.0	0.419	0.626	-0.207
44347	церковнославянский	NEUT	0.39	0.314	0.059	0.431	0.196	0.0	0.511	0.588	-0.077
44348	церковнослужитель	NEUT	0.28	0.275	0.127	0.51	0.088	0.0	0.389	0.684	-0.295
