	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
28913	полировка	NEUT	0.35	0.345	0.017	0.529	0.109	0.0	0.435	0.588	-0.153
28914	полировщик	NEUT	0.07	0.212	0.03	0.697	0.061	0.0	0.438	0.677	-0.239
28915	полис	NEUT	0.0	0.098	0.0	0.707	0.195	0.0	0.474	0.689	-0.215
28916	полисмен	NEUT	0.39	0.317	0.059	0.436	0.188	0.0	0.555	0.692	-0.137
28917	полистать	NEUT	0.0	0.128	0.077	0.769	0.026	0.0	0.59	0.554	0.036
28918	политбюро	NEUT	0.0	0.137	0.127	0.609	0.127	0.0	0.278	0.712	-0.434
28919	политехникум	NEUT	0.0	0.156	0.073	0.652	0.119	0.0	0.355	0.54	-0.185
28920	политехнический	NEUT	0.1	0.19	0.013	0.569	0.228	0.0	0.362	0.573	-0.211
28921	политзаключённый	NGTV	-0.9	0.061	0.455	0.151	0.333	0.0	0.352	0.701	-0.349
28922	политизация	NGTV	-0.41	0.094	0.281	0.359	0.266	0.01	0.348	0.711	-0.363
28923	политика	NEUT	-0.01	0.098	0.165	0.647	0.09	0.0	0.342	0.643	-0.301
28924	политико-экономический	NEUT	0.07	0.2	0.08	0.65	0.07	0.0	0.29	0.736	-0.446
28925	политинформация	NEUT	0.0	0.12	0.04	0.56	0.28	0.0	0.376	0.684	-0.308
28926	политически	NEUT	0.0	0.064	0.128	0.68	0.128	0.0	0.261	0.636	-0.375
28927	политический	NEUT	0.0	0.111	0.056	0.703	0.13	0.0	0.311	0.641	-0.33
28928	политкорректность	NEUT	0.47	0.34	0.1	0.37	0.19	0.01	0.402	0.639	-0.237
28929	политолог	NEUT	0.1	0.167	0.033	0.5	0.3	0.0	0.291	0.606	-0.315
28930	политология	NEUT	0.0	0.12	0.04	0.76	0.08	0.0	0.352	0.65	-0.298
28931	политотдел	NEUT	-0.08	0.088	0.176	0.56	0.176	0.0	0.32	0.708	-0.388
28932	политработник	NEUT	0.1	0.167	0.067	0.499	0.267	0.0	0.242	0.717	-0.475
28933	политсовет	NEUT	0.28	0.23	0.06	0.42	0.29	0.0	0.227	0.753	-0.526
28934	политуправление	NEUT	-0.15	0.092	0.176	0.457	0.275	0.0	0.309	0.743	-0.434
28935	полить	NEUT	0.54	0.443	0.046	0.396	0.115	0.0	0.51	0.677	-0.167
28936	политься	NEUT	-0.24	0.124	0.204	0.407	0.265	0.06	0.545	0.638	-0.093
28937	полифония	NEUT	0.09	0.129	0.099	0.396	0.376	0.0	0.469	0.572	-0.103
28938	полицай	NGTV	-0.62	0.139	0.475	0.317	0.069	0.04	0.371	0.709	-0.338
28939	полицеймейстер	NEUT	0.22	0.204	0.068	0.446	0.282	0.0	0.519	0.669	-0.15
28940	полицейский	NEUT	0.41	0.354	0.162	0.407	0.077	0.11	0.478	0.612	-0.134
