	term	tag	Female	Male	F - M
12445	изнуряюще	NGTV	0.668	0.391	0.277
12463	изобретательница	PSTV	0.697	0.518	0.179
12482	изолятор	NGTV	0.656	0.529	0.127
12528	изучающе	NEUT	0.653	0.465	0.188
12582	иллюзионистка	NEUT	0.705	0.416	0.289
12600	именинница	PSTV	0.718	0.428	0.29
12602	именины	PSTV	0.703	0.543	0.16
12676	ингаляционный	NEUT	0.65	0.555	0.095
12758	инопланетянка	NEUT	0.661	0.498	0.163
12772	иноходец	NEUT	0.67	0.56	0.11
12866	интригующе	PSTV	0.688	0.44	0.248
12899	инъекционный	NEUT	0.665	0.561	0.104
12910	ирис	NEUT	0.711	0.573	0.138
12911	ириска	PSTV	0.698	0.524	0.174
12934	искательница	NEUT	0.709	0.518	0.191
12981	искупаться	NEUT	0.685	0.509	0.176
13030	испечься	NEUT	0.65	0.493	0.157
13093	испускать	NEUT	0.694	0.59	0.104
13105	исследовательница	NEUT	0.69	0.427	0.263
13254	йети	NEUT	0.663	0.411	0.252
13277	кабриолет	NEUT	0.67	0.553	0.117
13325	какаду	NEUT	0.687	0.511	0.176
13336	калейдоскоп	NEUT	0.666	0.573	0.093
13366	кальсоны	NEUT	0.653	0.445	0.208
13369	кальян	NGTV	0.694	0.537	0.157
13389	камин	NEUT	0.678	0.502	0.176
13390	каминный	NEUT	0.653	0.493	0.16
13401	камушек	NEUT	0.683	0.565	0.118
13413	канарейка	NEUT	0.652	0.543	0.109
13424	каникулы	PSTV	0.676	0.51	0.166
13453	капелька	NEUT	0.675	0.558	0.117
13492	капучино	NEUT	0.683	0.486	0.197
13493	капуччино	NEUT	0.7	0.447	0.253
13494	капуша	NGTV	0.68	0.577	0.103
13503	каракуль	NEUT	0.672	0.563	0.109
13511	карантинный	NGTV	0.663	0.528	0.135
13530	кардиган	NEUT	0.694	0.459	0.235
13568	карнавал	PSTV	0.707	0.58	0.127
13612	касание	NEUT	0.694	0.587	0.107
13646	катамаран	NEUT	0.745	0.501	0.244
13647	катание	NEUT	0.658	0.479	0.179
13661	кататься	NEUT	0.698	0.51	0.188
13682	катышек	NGTV	0.671	0.375	0.296
13686	кафе-мороженое	PSTV	0.695	0.448	0.247
13715	кашка	NEUT	0.668	0.462	0.206
13724	каёмочка	NEUT	0.665	0.534	0.131
13726	квадратик	NEUT	0.687	0.589	0.098
13730	квакать	NEUT	0.723	0.579	0.144
13754	кебаб	NEUT	0.747	0.467	0.28
13760	кекс	PSTV	0.702	0.514	0.188
13762	кемпинг	NEUT	0.683	0.387	0.296
13774	кешью	NEUT	0.717	0.467	0.25
13792	киви	NEUT	0.684	0.56	0.124
13922	киса	PSTV	0.702	0.446	0.256
13925	киска	PSTV	0.702	0.522	0.18
13926	кисленький	NEUT	0.668	0.474	0.194
13927	кислинка	NEUT	0.678	0.525	0.153
13928	кислица	NEUT	0.722	0.541	0.181
13940	кислятина	NGTV	0.68	0.549	0.131
13942	кисонька	PSTV	0.729	0.453	0.276
13955	китёнок	PSTV	0.758	0.5	0.258
13960	кишмя	NEUT	0.664	0.443	0.221
14019	клетка	NEUT	0.666	0.541	0.125
14028	клеёнка	NEUT	0.736	0.537	0.199
14039	климат	NEUT	0.669	0.53	0.139
14079	клубок	NEUT	0.697	0.606	0.091
14080	клубочек	NEUT	0.783	0.533	0.25
14092	ключик	NEUT	0.663	0.537	0.126
14095	ключница	NEUT	0.668	0.471	0.197
14147	коала	PSTV	0.66	0.478	0.182
14160	кобылка	NEUT	0.67	0.515	0.155
14174	ковчег	NEUT	0.686	0.52	0.166
14202	кое-куда	NEUT	0.68	0.585	0.095
14223	козочка	PSTV	0.695	0.518	0.177
14233	кой-куда	NEUT	0.708	0.516	0.192
14239	кокер-спаниель	NEUT	0.724	0.56	0.164
14246	кокон	NEUT	0.661	0.545	0.116
14247	кокос	NEUT	0.696	0.509	0.187
14248	кокосовый	NEUT	0.663	0.522	0.141
14275	колесить	NEUT	0.698	0.508	0.19
14279	колечко	NEUT	0.736	0.538	0.198
14309	колли	NEUT	0.65	0.496	0.154
14356	колыбель	PSTV	0.718	0.55	0.168
14357	колыбелька	PSTV	0.745	0.413	0.332
14360	колыхание	NEUT	0.713	0.563	0.15
14364	колыхнуться	NEUT	0.656	0.529	0.127
14369	кольцо	NEUT	0.706	0.525	0.181
14377	коляска	NEUT	0.667	0.527	0.14
14378	колясочка	PSTV	0.664	0.528	0.136
14384	командировать	NEUT	0.659	0.557	0.102
14397	комариный	NEUT	0.663	0.551	0.112
14465	комнатёнка	NEUT	0.695	0.597	0.098
14467	комодик	PSTV	0.691	0.549	0.142
14470	комочек	NEUT	0.73	0.513	0.217
14479	компаньонка	NEUT	0.658	0.391	0.267
14517	компресс	NEUT	0.693	0.478	0.215
14715	конура	NEUT	0.662	0.537	0.125
14723	конфета	PSTV	0.676	0.512	0.164
14724	конфетка	PSTV	0.703	0.47	0.233
14727	конфетти	PSTV	0.665	0.563	0.102
14827	копытце	NEUT	0.653	0.558	0.095
14841	кораблик	NEUT	0.721	0.519	0.202
14842	корабль	NEUT	0.675	0.511	0.164
14858	корж	NEUT	0.71	0.521	0.189
14859	коржик	PSTV	0.733	0.48	0.253
14861	корзинка	NEUT	0.654	0.473	0.181
14862	корзиночка	NEUT	0.687	0.497	0.19
14875	кормилица	PSTV	0.683	0.457	0.226
14878	кормление	PSTV	0.663	0.507	0.156
14887	коробочка	NEUT	0.706	0.508	0.198
14890	коровка	PSTV	0.659	0.529	0.13
14998	космолёт	NEUT	0.686	0.564	0.122
15053	коттедж	NEUT	0.657	0.564	0.093
15057	котёнок	PSTV	0.754	0.492	0.262
15058	котёночек	PSTV	0.723	0.497	0.226
15062	кофеин	NEUT	0.681	0.583	0.098
15086	кочка	NEUT	0.683	0.557	0.126
15092	кошатница	NEUT	0.69	0.425	0.265
15099	кошечка	PSTV	0.7	0.455	0.245
15103	кошёлка	NGTV	0.71	0.478	0.232
15137	красавица	PSTV	0.685	0.569	0.116
15210	крем-брюле	PSTV	0.673	0.563	0.11
15229	крепко-накрепко	PSTV	0.69	0.467	0.223
15251	крестины	PSTV	0.708	0.594	0.114
15322	кроватка	PSTV	0.72	0.424	0.296
15324	кровать	PSTV	0.699	0.504	0.195
15370	крольчатина	NEUT	0.691	0.456	0.235
15371	крольчатник	NEUT	0.693	0.568	0.125
15372	крольчиха	NEUT	0.701	0.412	0.289
15373	крольчонок	PSTV	0.752	0.485	0.267
15391	крошечный	NEUT	0.68	0.572	0.108
15404	кругляш	NEUT	0.697	0.579	0.118
15405	кругляшок	NEUT	0.693	0.591	0.102
15414	кругосветка	NEUT	0.679	0.532	0.147
15417	кружево	NEUT	0.672	0.523	0.149
15421	кружиться	NEUT	0.732	0.574	0.158
15423	кружочек	NEUT	0.713	0.56	0.153
15424	круиз	PSTV	0.653	0.534	0.119
15458	крылышко	NEUT	0.678	0.579	0.099
15463	крыска	NGTV	0.655	0.558	0.097
15481	крякать	NEUT	0.66	0.545	0.115
15504	кувшин	NEUT	0.66	0.562	0.098
15505	кувшинка	NEUT	0.698	0.557	0.141
15506	кувшинчик	NEUT	0.712	0.547	0.165
15512	куда-либо	NEUT	0.688	0.482	0.206
15513	куда-нибудь	NEUT	0.745	0.466	0.279
15515	кудахтанье	NEUT	0.717	0.599	0.118
15518	кудесница	PSTV	0.678	0.561	0.117
15539	куколка	PSTV	0.668	0.566	0.102
15591	купальник	NEUT	0.666	0.442	0.224
15592	купальничек	NEUT	0.703	0.509	0.194
15594	купальня	NEUT	0.734	0.467	0.267
15597	купанье	NEUT	0.665	0.431	0.234
15599	купаться	PSTV	0.673	0.511	0.162
15623	курильщица	NGTV	0.681	0.489	0.192
15632	курлыкать	NEUT	0.664	0.57	0.094
15638	курорт	PSTV	0.664	0.475	0.189
15670	кусочек	NEUT	0.675	0.573	0.102
15688	куча	NEUT	0.653	0.413	0.24
15726	лагерь	NEUT	0.739	0.488	0.251
15733	ладошка	NEUT	0.651	0.538	0.113
15737	лазанье	NEUT	0.676	0.363	0.313
15754	лайнер	NEUT	0.681	0.566	0.115
15760	лакмус	NEUT	0.757	0.527	0.23
15763	лакомка	PSTV	0.712	0.479	0.233
15790	лапка	PSTV	0.667	0.574	0.093
15792	лапочка	PSTV	0.668	0.478	0.19
15805	ласковость	PSTV	0.731	0.514	0.217
15810	ласточка	NEUT	0.67	0.571	0.099
15887	леденец	PSTV	0.734	0.524	0.21
15895	ледок	NEUT	0.684	0.569	0.115
15898	ледопад	NGTV	0.684	0.514	0.17
15903	ледянка	NEUT	0.705	0.468	0.237
15908	лежанка	NEUT	0.678	0.523	0.155
